address,network,netgroup,asn
2a01:4f9:4a:2ad8::2,ipv6,2a01:4f9::/32,AS24940
2a01:4f8:200:7222::2,ipv6,2a01:4f8::/32,AS24940
178.62.2.80,ipv4,178.62.0.0/16,AS14061
80.115.71.51,ipv4,80.115.0.0/16,AS33915
185.158.113.172,ipv4,185.158.0.0/16,AS44812
68.183.126.132,ipv4,68.183.0.0/16,AS14061
46.166.165.101,ipv4,46.166.0.0/16,AS16125
91.216.149.28,ipv4,91.216.0.0/16,AS197099
45.130.20.177,ipv4,45.130.0.0/16,AS3214
84.255.244.61,ipv4,84.255.0.0/16,AS34779
193.9.45.9,ipv4,193.9.0.0/16,AS8100
99.102.8.115,ipv4,99.102.0.0/16,AS7018
54.36.42.65,ipv4,54.36.0.0/16,AS16276
123.60.213.192,ipv4,123.60.0.0/16,AS55990
2620:6:2003:105:67c:16ff:fe51:58bf,ipv6,2620:6::/32,AS395460
176.138.233.166,ipv4,176.138.0.0/16,AS5410
2406:da1c:50b:cd00:7a2c:5ea:5eca:5e31,ipv6,2406:da1c::/32,AS15802
88.99.149.100,ipv4,88.99.0.0/16,AS24940
44.230.252.251,ipv4,44.230.0.0/16,AS8987
3.92.161.157,ipv4,3.92.0.0/16,AS8987
109.194.27.222,ipv4,109.194.0.0/16,AS51645
2.85.104.19,ipv4,2.85.0.0/16,AS6799
24.118.251.111,ipv4,24.118.0.0/16,AS7922
217.100.167.34,ipv4,217.100.0.0/16,AS33915
15.204.85.115,ipv4,15.204.0.0/16,AS16276
47.51.27.58,ipv4,47.51.0.0/16,AS20115
2a01:4f8:202:310a::2,ipv6,2a01:4f8::/32,AS24940
38.22.136.10,ipv4,38.22.0.0/16,AS174
60.205.205.119,ipv4,60.205.0.0/16,AS37963
2600:1900:40f0:964b:0:2::,ipv6,2600:1900::/32,AS15169
38.45.123.234,ipv4,38.45.0.0/16,AS174
2406:da1c:50b:cd03:36d6:13fa:eba8:6543,ipv6,2406:da1c::/32,AS8987
2a01:4f8:120:1226::2,ipv6,2a01:4f8::/32,AS24940
69.209.100.99,ipv4,69.209.0.0/16,AS7018
37.187.27.185,ipv4,37.187.0.0/16,AS16276
52.14.246.220,ipv4,52.14.0.0/16,AS8987
3.74.254.94,ipv4,3.74.0.0/16,AS16509
65.109.21.179,ipv4,65.109.0.0/16,AS24940
116.202.234.185,ipv4,116.202.0.0/16,AS24940
46.4.197.185,ipv4,46.4.0.0/16,AS24940
185.74.223.229,ipv4,185.74.0.0/16,AS209281
108.49.16.146,ipv4,108.49.0.0/16,AS701
2a01:4f8:241:147::1,ipv6,2a01:4f8::/32,AS24940
2607:f2c0:f00e:300::54,ipv6,2607:f2c0::/32,AS5645
88.84.223.30,ipv4,88.84.0.0/16,AS21453
18.141.161.154,ipv4,18.141.0.0/16,AS16509
176.119.76.35,ipv4,176.119.0.0/16,AS6876
32.217.49.121,ipv4,32.217.0.0/16,AS46690
13.88.177.3,ipv4,13.88.0.0/16,AS8075
76.173.141.148,ipv4,76.173.0.0/16,AS20001
2600:3c02::f03c:93ff:febc:9eb3,ipv6,2600:3c02::/32,AS63949
95.216.23.79,ipv4,95.216.0.0/16,AS24940
120.155.195.26,ipv4,120.155.0.0/16,AS1221
176.9.2.175,ipv4,176.9.0.0/16,AS24940
35.128.32.144,ipv4,35.128.0.0/16,AS394141
43.207.145.202,ipv4,43.207.0.0/16,AS8987
77.91.124.139,ipv4,77.91.0.0/16,AS203727
167.235.110.208,ipv4,167.235.0.0/16,AS24940
2400:6180:100:d0::9f7:2001,ipv6,2400:6180::/32,AS14061
172.93.166.135,ipv4,172.93.0.0/16,AS22653
2402:1f00:8001:c0d::,ipv6,2402:1f00::/32,AS16276
187.121.13.115,ipv4,187.121.0.0/16,AS19182
93.218.2.77,ipv4,93.218.0.0/16,AS3320
65.108.66.137,ipv4,65.108.0.0/16,AS24940
34.101.129.24,ipv4,34.101.0.0/16,AS396982
2a02:842a:1df:8a01:1e1b:dff:fe0b:236d,ipv6,2a02:842a::/32,AS198949
220.128.156.91,ipv4,220.128.0.0/16,AS3462
107.173.90.186,ipv4,107.173.0.0/16,AS36352
135.181.160.209,ipv4,135.181.0.0/16,AS24940
2001:1af8:5000:a022:15::5f4a,ipv6,2001:1af8::/32,AS60781
54.248.160.247,ipv4,54.248.0.0/16,AS8987
34.143.254.97,ipv4,34.143.0.0/16,AS15169
2a06:dd00:10:6:225:90ff:fe33:56e8,ipv6,2a06:dd00::/32,AS56694
85.215.92.224,ipv4,85.215.0.0/16,AS6724
212.227.155.170,ipv4,212.227.0.0/16,AS8560
119.96.192.106,ipv4,119.96.0.0/16,AS4134
72.134.84.205,ipv4,72.134.0.0/16,AS20001
23.17.233.121,ipv4,23.17.0.0/16,AS852
78.27.139.13,ipv4,78.27.0.0/16,AS15683
31.220.95.214,ipv4,31.220.0.0/16,AS51167
85.236.190.252,ipv4,85.236.0.0/16,AS35032
107.4.117.161,ipv4,107.4.0.0/16,AS33668
93.190.143.76,ipv4,93.190.0.0/16,AS49981
2a01:4f8:202:3e6::2,ipv6,2a01:4f8::/32,AS24940
117.48.133.67,ipv4,117.48.0.0/16,AS140292
5.9.5.135,ipv4,5.9.0.0/16,AS24940
2a02:a213:1bc:6a03::4,ipv6,2a02:a213::/32,AS33915
13.115.227.250,ipv4,13.115.0.0/16,AS8987
85.61.192.232,ipv4,85.61.0.0/16,AS12479
144.76.17.180,ipv4,144.76.0.0/16,AS24940
97.117.77.19,ipv4,97.117.0.0/16,AS209
169.150.206.206,ipv4,169.150.0.0/16,AS60068
37.34.182.236,ipv4,37.34.0.0/16,AS42961
185.153.196.130,ipv4,185.153.0.0/16,AS56380
95.217.83.225,ipv4,95.217.0.0/16,AS24940
70.35.194.184,ipv4,70.35.0.0/16,AS8560
2a12:8e40:5668:f001::1,ipv6,2a12:8e40::/32,AS45021
99.32.27.69,ipv4,99.32.0.0/16,AS7018
154.38.184.76,ipv4,154.38.0.0/16,AS174
188.120.222.69,ipv4,188.120.0.0/16,AS49985
138.68.8.225,ipv4,138.68.0.0/16,AS14061
18.181.173.197,ipv4,18.181.0.0/16,AS8987
101.51.138.194,ipv4,101.51.0.0/16,AS9737
47.252.14.48,ipv4,47.252.0.0/16,AS45102
86.182.223.189,ipv4,86.182.0.0/16,AS2856
70.251.209.207,ipv4,70.251.0.0/16,AS7018
154.7.1.114,ipv4,154.7.0.0/16,AS174
116.202.203.168,ipv4,116.202.0.0/16,AS24940
62.171.142.174,ipv4,62.171.0.0/16,AS51167
84.52.64.82,ipv4,84.52.0.0/16,AS25408
165.227.93.117,ipv4,165.227.0.0/16,AS14061
2a02:c207:2019:7206::1,ipv6,2a02:c207::/32,AS51167
213.125.67.108,ipv4,213.125.0.0/16,AS33915
88.204.157.44,ipv4,88.204.0.0/16,AS9198
199.36.253.252,ipv4,199.36.0.0/16,AS396952
2a02:c207:3002:8686::66,ipv6,2a02:c207::/32,AS51167
2a01:4f9:1a:9c1d::2,ipv6,2a01:4f9::/32,AS24940
